hand,small blind,big blind,under the gun,under the gun +1,under the gun +2,lojack,hijack,cutoff,button
AA,r,r,r,r,r,r,r,r,r
AKs,r,r,r,r,r,r,r,r,r
AQs,r,r,r,r,r,r,r,r,r
AJs,r,r,r,r,r,r,r,r,r
ATs,r,r,r,r,r,r,r,r,r
A9s,r,r,f,f,r,r,r,r,r
A8s,r,r,f,f,r,r,r,r,r
A7s,r,r,f,f,f,r,r,r,r
A6s,r,r,f,f,f,r,r,r,r
A5s,r,r,r,r,r,r,r,r,r
A4s,r,r,f,f,r,r,r,r,r
A3s,r,r,f,f,f,r,r,r,r
A2s,r,r,f,f,f,r,r,r,r
AK,r,r,r,r,r,r,r,r,r
AQ,r,r,r,r,r,r,r,r,r
AJ,r,r,f,f,r,r,r,r,r
AT,r,r,f,f,f,f,r,r,r
A9,r,r,f,f,f,f,f,f,r
A8,r,r,f,f,f,f,f,f,r
A7,r,r,f,f,f,f,f,f,r
A6,r,r,f,f,f,f,f,f,r
A5,r,r,f,f,f,f,f,f,r
A4,r,r,f,f,f,f,f,f,r
A3,r,r,f,f,f,f,f,f,r
A2,r,r,f,f,f,f,f,f,r
KK,r,r,r,r,r,r,r,r,r
QQ,r,r,r,r,r,r,r,r,r
JJ,r,r,r,r,r,r,r,r,r
TT,r,r,r,r,r,r,r,r,r
99,r,r,r,r,r,r,r,r,r
88,r,r,r,r,r,r,r,r,r
77,r,r,r,r,r,r,r,r,r
66,r,r,f,f,f,r,r,r,r
55,r,r,f,f,f,r,r,r,r
44,r,r,f,f,f,f,r,r,r
33,r,r,f,f,f,f,f,r,r
22,r,r,f,f,f,f,f,r,r
KQs,r,r,r,r,r,r,r,r,r
KJs,r,r,r,r,r,r,r,r,r
KTs,r,r,r,r,r,r,r,r,r
K9s,r,r,f,f,r,r,r,r,r
K8s,r,r,f,f,f,f,f,r,r
K7s,r,r,f,f,f,f,f,f,r
K6s,r,r,f,f,f,f,f,f,r
K5s,r,r,f,f,f,f,f,f,r
K4s,r,r,f,f,f,f,f,f,r
K3s,r,r,f,f,f,f,f,f,r
K2s,r,r,f,f,f,f,f,f,f
KQ,r,r,f,f,f,r,r,r,r
KJ,r,r,f,f,f,f,r,r,r
KT,r,r,f,f,f,f,f,r,r
K9,r,r,f,f,f,f,f,f,r
K8,r,r,f,f,f,f,f,f,f
K7,f,f,f,f,f,f,f,f,f
K6,f,f,f,f,f,f,f,f,f
K5,f,f,f,f,f,f,f,f,f
K4,f,f,f,f,f,f,f,f,f
K3,f,f,f,f,f,f,f,f,f
K2,f,f,f,f,f,f,f,f,f
QJs,r,r,r,r,r,r,r,r,r
QTs,r,r,r,r,r,r,r,r,r
Q9s,r,r,f,f,r,r,r,r,r
Q8s,r,r,f,f,f,f,f,r,r
Q7s,r,r,f,f,f,f,f,f,r
Q6s,r,r,f,f,f,f,f,f,r
Q5s,r,r,f,f,f,f,f,f,r
Q4s,r,r,f,f,f,f,f,f,f
Q3s,f,f,f,f,f,f,f,f,f
Q2s,f,f,f,f,f,f,f,f,f
QJ,r,r,f,f,f,f,r,r,r
QT,r,r,f,f,f,f,f,r,r
Q9,r,r,f,f,f,f,f,f,r
Q8,r,r,f,f,f,f,f,f,f
Q7,f,f,f,f,f,f,f,f,f
Q6,f,f,f,f,f,f,f,f,f
Q5,f,f,f,f,f,f,f,f,f
Q4,f,f,f,f,f,f,f,f,f
Q3,f,f,f,f,f,f,f,f,f
Q2,f,f,f,f,f,f,f,f,f
JTs,r,r,r,r,r,r,r,r,r
J9s,r,r,r,r,r,r,r,r,r
J8s,r,r,f,f,f,f,f,r,r
J7s,r,r,f,f,f,f,f,f,r
